source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G015.029-00.669_eb1,4100,G015.029-00.669_eb1_4100,275.111552159352,-16.200938774509325,0.00044781932956539094,15.445513453931397,2.8993489332748988e-05,25,0,95
G015.029-00.669_eb1,4101,G015.029-00.669_eb1_4101,275.11154868817516,-16.200938774643976,0.00036329805152490735,12.5303321499338,2.8993489332748988e-05,28,0,37
G015.029-00.669_eb1,4102,G015.029-00.669_eb1_4102,275.11157761464904,-16.200938773520072,0.000707825121935457,24.413243739377997,2.8993489332748988e-05,3,0,5
G015.029-00.669_eb1,4106,G015.029-00.669_eb1_4106,275.11157645759005,-16.200938773565095,0.0006151308189146221,21.21617070146207,2.8993489332748988e-05,4,0,34
G015.029-00.669_eb1,4114,G015.029-00.669_eb1_4114,275.1115729864132,-16.200938773700152,0.0004938048659823835,17.031577686809037,2.8993489332748988e-05,7,0,8
G015.029-00.669_eb1,4115,G015.029-00.669_eb1_4115,275.1115741434721,-16.200938773655146,0.0012677049962803721,43.723781630121444,2.8993489332748988e-05,6,0,10
G015.029-00.669_eb1,4118,G015.029-00.669_eb1_4118,275.1115625728826,-16.200938774104994,0.00035144007415510714,12.121344558488357,2.8993489332748988e-05,16,0,20
G015.029-00.669_eb1,4129,G015.029-00.669_eb1_4129,275.11157761464904,-16.200938773520072,0.0004979459336027503,17.174405187591752,2.8993489332748988e-05,3,0,6
G015.029-00.669_eb1,4130,G015.029-00.669_eb1_4130,275.11156141582364,-16.200938774149957,0.00034460582537576556,11.885627887724548,2.8993489332748988e-05,17,0,34
G015.029-00.669_eb1,4132,G015.029-00.669_eb1_4132,275.11157182935426,-16.20093877374517,0.0004391745605971664,15.147351033085418,2.8993489332748988e-05,8,0,12
G015.029-00.669_eb1,4139,G015.029-00.669_eb1_4139,275.1115741434721,-16.200938773655146,0.00045077892718836665,15.547591461480241,2.8993489332748988e-05,6,0,89
G015.029-00.669_eb1,4140,G015.029-00.669_eb1_4140,275.1115810858259,-16.200938773384937,0.00030499082640744746,10.519286689061998,2.8993489332748988e-05,0,0,5
G015.029-00.669_eb1,4143,G015.029-00.669_eb1_4143,275.11156835817735,-16.200938773880146,0.00032526609720662236,11.218590955840035,2.8993489332748988e-05,11,0,14
G015.029-00.669_eb1,4146,G015.029-00.669_eb1_4146,275.1115602587647,-16.20093877419489,0.00047024019295349717,16.21882028605461,2.8993489332748988e-05,18,0,23
G015.029-00.669_eb1,4159,G015.029-00.669_eb1_4159,275.1115660440595,-16.200938773970098,0.00045289844274520874,15.620694616899621,2.8993489332748988e-05,13,0,27
G015.029-00.669_eb1,4162,G015.029-00.669_eb1_4162,275.11156951523634,-16.20093877383516,0.00036800449015572667,12.692659580647815,2.8993489332748988e-05,10,0,11
G015.029-00.669_eb1,4861,G015.029-00.669_eb1_4861,275.1114896781685,-16.20093877692464,0.0006817085086368024,23.512468637805277,2.8993489332748988e-05,79,0,130
G015.029-00.669_eb1,5655,G015.029-00.669_eb1_5655,275.1111437175413,-16.20093878996813,0.0007871259585954249,27.148369399827406,2.8993489332748988e-05,378,0,395
G016.318-00.531,3958,G016.318-00.531_3958,275.60468976026203,-14.999830172124732,0.0003966710646636784,17.770515382827604,2.2321866086506324e-05,19,0,124
G016.318-00.531,4030,G016.318-00.531_4030,275.6047058645455,-14.999830171544028,0.00029831923893652856,13.364439952305958,2.2321866086506324e-05,5,0,81
G016.318-00.531,4453,G016.318-00.531_4453,275.60467135536663,-14.999830172786988,0.00027770252199843526,12.440829136875244,2.2321866086506324e-05,35,0,80
G016.318-00.531,4523,G016.318-00.531_4523,275.6046782572024,-14.999830172538804,0.0005565996980294585,24.93517772539303,2.2321866086506324e-05,29,0,348
G016.318-00.531,6549,G016.318-00.531_6549,275.6046690547547,-14.99983017286967,0.00023587926989421248,10.567184167313084,2.2321866086506324e-05,37,0,59
G016.318-00.531,6578,G016.318-00.531_6578,275.6046333952699,-14.999830174148242,0.00036998081486672163,16.5748156284468,2.2321866086506324e-05,68,0,95
G016.364-00.207,895,G016.364-00.207_895,275.33099198419995,-14.806910706515271,0.00039173796540126204,17.423728735465772,2.2483015624771782e-05,159,0,207
G016.364-00.207,1215,G016.364-00.207_1215,275.331079329146,-14.806910703452496,0.00036445935256779194,16.210430070876733,2.2483015624771782e-05,83,0,136
G016.364-00.207,1833,G016.364-00.207_1833,275.33107128421676,-14.806910703735976,0.00028989772545173764,12.894076590523222,2.2483015624771782e-05,90,0,161
G016.364-00.207,1950,G016.364-00.207_1950,275.3311207030679,-14.806910701990256,0.0002869001473300159,12.76075025335611,2.2483015624771782e-05,47,0,87
