target,proposal,src_id,species,line,v,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
IRAS17233-3606,2017.1.00237.S,1,KCl,KCl_v2_J29-28,2,0.0024405615404248238,-0.005467964336276054,0.0025780280120670795,0.9466776656425722,2.120987169527225,12.89598475350486,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,1,KCl,KCl_v2_J31-30,2,0.00494208512827754,-0.0034645218402147293,0.0017262875335291028,2.8628400728668204,2.006920500162624,-9.597286656059557,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,1,H2O,H2O_5_15-4_22_232,0,0.0031927276868373156,-0.0027748974971473217,0.0009022197918966413,3.5387471162936714,3.075633589586799,-10.411656104332767,0.0,True,False,True,False
IRAS17233-3606,2017.1.00237.S,4,NaCl,NaCl_v0_J18-17,0,0.004265712108463049,-0.00888026598840952,0.0014469888992607594,2.9479922829002523,6.137065732118807,-15.577999154669815,0.0,True,False,True,False
IRAS17233-3606,2017.1.00237.S,4,NaCl,NaCl_v1_J17-16,1,0.004276853054761887,-0.003734785597771406,0.00187915307469666,2.2759471340312563,1.9874834296691286,-14.48734443727904,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,4,NaCl,NaCl_v1_J18-17,1,0.004716384690254927,-0.0037372452206909657,0.002283655572682619,2.065278471356594,1.636518775158729,-3.0762098280764185,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,4,NaCl,NaCl_v2_J17-16,2,0.00360274245031178,-0.00338755757547915,0.0014598496491089463,2.4678859583319412,2.3204838782862507,-15.076911804482807,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,4,KCl,KCl_v2_J29-28,2,0.005217954982072115,-0.015240902081131935,0.005279759410768747,0.9882940823836454,2.8866660192974245,-19.05460242986493,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,4,KCl,KCl_v2_J31-30,2,0.001416090177372098,-0.010238967835903168,0.0010932113509625196,1.2953489516233976,9.365954558455922,19.05250821857946,0.0,True,False,False,False
IRAS17233-3606,2017.1.00237.S,4,H2O,H2O_5_15-4_22_232,0,0.003583494108170271,-0.0025183730758726597,0.0012627743417397141,2.8377945209381745,1.99431758520142,-6.636921118582599,0.0,True,False,True,False
IRAS17233-3606,2017.1.00237.S,5,NaCl,NaCl_v0_J18-17,0,0.016048012301325798,-0.0029474846087396145,0.00197393586859107,8.1299562750133,1.4932018084475212,-5.579253226593369,0.0,True,True,True,True
