name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G300.918+00.889_eb1_004,DIHCA2,NaCl,2.751,1,35.51401,,106.542,0.004679,NaCl_v1_18-17
G300.918+00.889_eb1_003,DIHCA2,H2O,1.895,1,32.24543,,96.7363,0.004254,H2O_232
G300.918+00.889_eb1_003,DIHCA2,NaCl,1.698,2,13.8331,,41.4993,0.001766,NaCl_v1_17-16
G300.918+00.889_eb1_001,DIHCA2,NaCl,1.739,1,32.3078,,96.9234,0.004168,NaCl_v0_18-17
G035.522-00.274_007,DIHCA2,NaCl,3.701,3,2.67842,,8.0353,0.000364,NaCl_v0_18-17
G035.522-00.274_007,DIHCA2,H2O,1.54,1,28.09285,,84.2785,0.003737,H2O_232
G035.522-00.274_006,DIHCA2,NaCl,2.031,2,6.25288,,18.7586,0.001697,NaCl_v2_17-16
G035.522-00.274_005,DIHCA2,NaCl,2.475,1,23.27601,,69.828,0.00309,NaCl_v1_18-17
G035.522-00.274_005,DIHCA2,H2O,1.872,1,23.22469,,69.6741,0.003087,H2O_232
G035.522-00.274_003,DIHCA2,NaCl,1.532,1,11.27761,,33.8328,0.002873,NaCl_v1_17-16
G035.522-00.274_001,DIHCA2,H2O,2.294,1,24.64853,,73.9456,0.003277,H2O_232
G035.522-00.274_001,DIHCA2,NaCl,2.238,2,24.71337,,74.1401,0.003281,NaCl_v1_18-17
G035.132-00.744_014,DIHCA2,H2O,4.448,1,9.07616,,27.2285,0.001241,H2O_232
G035.132-00.744_013,DIHCA2,NaCl,4.491,4,4.06433,,12.193,0.000548,NaCl_v2_17-16
G035.132-00.744_013,DIHCA2,H2O,4.258,1,6.30573,,18.9172,0.000862,H2O_232
G035.132-00.744_012,DIHCA2,NaCl,2.512,3,8.48124,,25.4437,0.001143,NaCl_v2_17-16
G035.132-00.744_011,DIHCA2,NaCl,2.982,1,17.2142,,51.6426,0.00235,NaCl_v1_18-17
G035.132-00.744_011,DIHCA2,H2O,2.577,1,17.27461,,51.8238,0.002362,H2O_232
G035.132-00.744_006,DIHCA2,NaCl,3.139,2,14.31024,,42.9307,0.00187,NaCl_v2_17-16
G035.132-00.744_006,DIHCA2,H2O,2.999,1,20.8789,,62.6367,0.002763,H2O_232
G035.132-00.744_005,DIHCA2,H2O,2.791,1,9.78998,,29.3699,0.001296,H2O_232
G035.132-00.744_005,DIHCA2,NaCl,1.545,1,9.83939,,29.5182,0.0013,NaCl_v1_18-17
G035.132-00.744_004,DIHCA2,NaCl,1.411,1,10.48158,,31.4447,0.00293,NaCl_v0_18-17
G035.132-00.744_003,DIHCA2,NaCl,3.694,4,2.91836,,8.7551,0.000758,NaCl_v1_18-17
G035.132-00.744_003,DIHCA2,H2O,2.943,1,2.91916,,8.7575,0.000759,H2O_232
G035.132-00.744_001,DIHCA2,NaCl,1.864,1,12.48123,,37.4437,0.003271,NaCl_v1_17-16
G034.401+00.226_035,DIHCA2,NaCl,3.965,2,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_034,DIHCA2,NaCl,3.965,3,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_033,DIHCA2,NaCl,3.965,2,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_032,DIHCA2,NaCl,3.965,2,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_031,DIHCA2,NaCl,3.965,2,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_030,DIHCA2,NaCl,3.965,2,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_029,DIHCA2,NaCl,3.965,5,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_029,DIHCA2,H2O,1.392,1,8.11296,,24.3389,0.000888,H2O_232
G034.401+00.226_028,DIHCA2,NaCl,3.965,7,0.34773,,1.0432,4.6e-05,NaCl_v2_17-16
G034.401+00.226_028,DIHCA2,H2O,2.496,3,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_027,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_026,DIHCA2,H2O,4.129,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_025,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_024,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_023,DIHCA2,H2O,2.496,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_022,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_021,DIHCA2,H2O,2.496,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_020,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_019,DIHCA2,H2O,2.496,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_018,DIHCA2,H2O,2.84,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_017,DIHCA2,H2O,3.275,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_016,DIHCA2,H2O,2.496,2,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_015,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_014,DIHCA2,H2O,2.496,1,0.34815,,1.0444,4.6e-05,H2O_232
G034.401+00.226_011,DIHCA2,H2O,4.474,2,9.44723,,28.3417,0.000984,H2O_232
G034.401+00.226_010,DIHCA2,NaCl,3.501,3,15.05539,,45.1662,0.001555,NaCl_v2_17-16
G034.401+00.226_010,DIHCA2,H2O,2.999,1,18.00271,,54.0081,0.001875,H2O_232
G034.401+00.226_007,DIHCA2,NaCl,2.91,3,0.30775,,0.9232,4.2e-05,NaCl_v0_18-17
